date,store_name,source_type,source_file,excel_file,normalized_json,report_file,feishu_pushed,pushed_at,agent,workflow_version,status,notes,created_at,updated_at,feishu_push_success,error_message,business_date,processing_date,source_date_from_image,date_validation_status
2026-05-24,便宜坊马连道,manual_json,,data/便宜坊马连道_2026-05-24.xlsx,,,true,2026-05-24T20:00:00+08:00,human,1.0,done,,2026-05-24T20:00:00+08:00,2026-05-24T20:00:00+08:00,,,,,,
2026-05-25,便宜坊马连道,manual_json,,data/便宜坊马连道_2026-05-25.xlsx,,,true,2026-05-25T20:00:00+08:00,human,1.0,done,,2026-05-25T20:00:00+08:00,2026-05-25T20:00:00+08:00,,,,,,
2026-05-26,便宜坊马连道,manual_json,,data/便宜坊马连道_2026-05-26.xlsx,,,true,2026-05-26T20:00:00+08:00,human,1.0,done,,2026-05-26T20:00:00+08:00,2026-05-26T20:00:00+08:00,,,,,,
2026-05-27,便宜坊马连道,screenshot,raw_images/0527.png,data/便宜坊马连道_2026-05-27.xlsx,,,true,2026-05-27T20:06:00+08:00,codex,1.0,done,,2026-05-27T20:06:00+08:00,2026-05-27T20:06:00+08:00,,,,,,
2026-05-28,便宜坊马连道,screenshot,TBD,data/便宜坊马连道_2026-05-28.xlsx,,,true,2026-05-29T10:30:00+08:00,claude-code,1.0,done,,2026-05-29T10:00:00+08:00,2026-05-29T10:30:00+08:00,,,,,,
2026-05-29,便宜坊马连道,screenshot,chat_image,data/便宜坊马连道_2026-05-29.xlsx,,output/report_MLD_2026-05-29.json,true,2026-05-30T14:44:14+08:00,codex,1.0,done,,2026-05-30T14:44:14+08:00,2026-05-30T14:44:14+08:00,,,,,,
2026-05-30,便宜坊马连道,screenshot,/Users/ming/Restaurant/daily-input/马连道/ba97df29f8a8d25b83833d69ee1f2554.png,,,,false,,codex,1.0,failed,daily workflow failed,2026-05-31T07:22:10+08:00,2026-05-31T07:22:10+08:00,false,APIConnectionError: Connection error.,,,,
2026-05-30,便宜坊马连道,screenshot,/Users/ming/Restaurant/daily-input/马连道/ba97df29f8a8d25b83833d69ee1f2554.png,,,,false,,codex,1.0,failed,daily workflow failed,2026-05-31T07:23:13+08:00,2026-05-31T07:23:13+08:00,false,ValueError: 图片识别返回中找不到 JSON: ,,,,
2026-05-30,便宜坊马连道,screenshot,/Users/ming/Restaurant/daily-input/马连道/ba97df29f8a8d25b83833d69ee1f2554.png,data/便宜坊马连道_2026-05-30.xlsx,,output/report_MLD_2026-05-30.json,true,2026-05-31T07:38:51+08:00,codex,1.0,done,,2026-05-31T07:38:51+08:00,2026-05-31T07:38:51+08:00,true,,,,,
2026-05-31,便宜坊马连道,screenshot,/Users/ming/Restaurant/daily-input/马连道/d942496d6738841bd35eac2f2a6ea441.png,/Users/ming/Restaurant/restaurant-ai-bot/data/便宜坊马连道_2026-05-31.xlsx,,/Users/ming/Restaurant/restaurant-ai-bot/output/report_MLD_2026-05-31.json,true,2026-06-01T08:08:21+08:00,codex,1.0,done,,2026-06-01T08:08:21+08:00,2026-06-01T08:08:21+08:00,true,,2026-05-31,2026-06-01,2026-05-31,warning_processing_date_differs
2026-06-01,便宜坊马连道,screenshot,/Users/ming/Restaurant/daily-input/马连道/ffe4a2ff8d121ea19688c320dca0cded.png,/Users/ming/Restaurant/restaurant-ai-bot/data/便宜坊马连道_2026-06-01.xlsx,,/Users/ming/Restaurant/restaurant-ai-bot/output/report_MLD_2026-06-01.json,true,2026-06-02T03:31:04+08:00,codex,1.0,done,,2026-06-02T03:31:04+08:00,2026-06-02T03:31:04+08:00,true,,2026-06-01,2026-06-01,2026-06-01,ok
2026-06-02,便宜坊马连道,screenshot,/Users/ming/Restaurant/daily-input/马连道/0af4c920cfadf22d7e3cc344bf472358.png,/Users/ming/Restaurant/restaurant-ai-bot/data/便宜坊马连道_2026-06-02.xlsx,,/Users/ming/Restaurant/restaurant-ai-bot/output/report_MLD_2026-06-02.json,true,2026-06-03T17:36:25+08:00,codex,1.0,done,,2026-06-03T17:36:25+08:00,2026-06-03T17:36:25+08:00,true,,2026-06-02,2026-06-03,2026-06-02,warning_processing_date_differs
2026-06-03,便宜坊马连道,screenshot,/Users/ming/Restaurant/daily-input/马连道/75314223858489c0d11b6892c1ddd14a.png,/Users/ming/Restaurant/restaurant-ai-bot/data/便宜坊马连道_2026-06-03.xlsx,,/Users/ming/Restaurant/restaurant-ai-bot/output/report_MLD_2026-06-03.json,true,2026-06-04T07:52:03+08:00,codex,1.0,done,,2026-06-04T07:52:03+08:00,2026-06-04T07:52:03+08:00,true,,2026-06-03,2026-06-04,2026-06-03,warning_processing_date_differs
